label,scraped_label,fixed_url,scraped_url,sign_variant,signer_number,video_url_ext,video_url_root,number_in_label,letter
ABSURDO,ABSURDO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO.mp4,1,1,mp4,videos,False,A
ABSURDO,ABSURDO-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO2.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO2.mp4,2,1,mp4,videos,True,A
ABSURDO,ABSURDO-3,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO3.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO3.mp4,3,1,mp4,videos,True,A
ABSURDO,ABSURDO-4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO4.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO4.mp4,4,1,mp4,videos,True,A
ACABAR,ACABAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACABAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACABAR.mp4,1,1,mp4,videos,False,A
ACADÊMICA,ACADÊMICA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACAD%C3%8AMICA.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACAD%C3%8AMICA.mp4,1,1,mp4,videos,False,A
AÇAÍ,AÇAÍ,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/A%C3%87AI.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/A%C3%87AI.mp4,1,1,mp4,videos,False,A
ACEITAR,ACEITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACEITAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACEITAR.mp4,1,1,mp4,videos,False,A
ACENDEDOR,ACENDEDOR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDEDOR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDEDOR.mp4,1,1,mp4,videos,False,A
ACENDER-FAROL,ACENDER-FAROL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDER-FAROL.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDER-FAROL.mp4,1,1,mp4,videos,False,A
ACENDER-LUZ,ACENDER-LUZ,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDER-LUZ.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDER-LUZ.mp4,1,1,mp4,videos,False,A
ACESSIBILIDADE,ACESSIBILIDADE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACESSIBILIDADE.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACESSIBILIDADE.mp4,1,1,mp4,videos,False,A
ACETONA,ACETONA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACETONA.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACETONA.mp4,1,1,mp4,videos,False,A
ACHAR,ACHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR.mp4,1,1,mp4,videos,False,A
ACHAR,ACHAR-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR2.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR2.mp4,2,1,mp4,videos,True,A
ACHAR,ACHAR-3,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR3.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR3.mp4,3,1,mp4,videos,True,A
ACIDENTE,ACIDENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACIDENTE.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACIDENTE.mp4,1,1,mp4,videos,False,A
ACOMODAR,ACOMODAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOMODAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOMODAR.mp4,1,1,mp4,videos,False,A
ACOMPANHAR,ACOMPANHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOMPANHAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOMPANHAR.mp4,1,1,mp4,videos,False,A
ACONSELHAR,ACONSELHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONSELHAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONSELHAR.mp4,1,1,mp4,videos,False,A
ACONTECER,ACONTECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONTECER.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONTECER.mp4,1,1,mp4,videos,False,A
ACONTECER,ACONTECER-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONTECER2.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONTECER2.mp4,2,1,mp4,videos,True,A
ACORDAR,ACORDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACORDAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACORDAR.mp4,1,1,mp4,videos,False,A
ACOSTUMAR,ACOSTUMAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOSTUMAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOSTUMAR.mp4,1,1,mp4,videos,False,A
ACRE,ACRE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACRE.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACRE.mp4,1,1,mp4,videos,False,A
ACREDITAR,ACREDITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACREDITAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACREDITAR.mp4,1,1,mp4,videos,False,A
ACRESCENTAR,ACRESCENTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACRESCENTAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACRESCENTAR.mp4,1,1,mp4,videos,False,A
ADAPTAR,ADAPTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADAPTAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADAPTAR.mp4,1,1,mp4,videos,False,A
ADIANTAR-NÃO,ADIANTAR-NÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADIANTAR-N%C3%83O.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADIANTAR-N%C3%83O.mp4,1,1,mp4,videos,False,A
ADJETIVO,ADJETIVO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADJETIVO.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADJETIVO.mp4,1,1,mp4,videos,False,A
ADMINISTRAR,ADMINISTRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADMINISTRAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADMINISTRAR.mp4,1,1,mp4,videos,False,A
ADMIRAR,ADMIRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADMIRAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADMIRAR.mp4,1,1,mp4,videos,False,A
ADOECER,ADOECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOECER.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOECER.mp4,1,1,mp4,videos,False,A
ADOLESCENTE,ADOLESCENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOLESCENTE.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOLESCENTE.mp4,1,1,mp4,videos,False,A
ADORAR,ADORAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADORAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADORAR.mp4,1,1,mp4,videos,False,A
ADOTAR,ADOTAR-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOTAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOTAR.mp4,2,1,mp4,videos,True,A
ADOTAR,ADOTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOTAR2.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOTAR2.mp4,1,1,mp4,videos,False,A
ADQUIRIR,ADQUIRIR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADQUIRIR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADQUIRIR.mp4,1,1,mp4,videos,False,A
ADULTÉRIO,ADULTÉRIO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADULT%C3%89RIO.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADULT%C3%89RIO.mp4,1,1,mp4,videos,False,A
ADULTO,ADULTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADULTO.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADULTO.mp4,1,1,mp4,videos,False,A
ADVOGADO,ADVOGADO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADVOGADO.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADVOGADO.mp4,1,1,mp4,videos,False,A
AEROPORTO,AEROPORTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AEROPORTO.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AEROPORTO.mp4,1,1,mp4,videos,False,A
AFASIA,AFASIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFASIA.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFASIA.mp4,1,1,mp4,videos,False,A
AFASTAR,AFASTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFASTAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFASTAR.mp4,1,1,mp4,videos,False,A
AFEGANISTÃO,AFEGANISTÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFEGANIST%C3%83O.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFEGANIST%C3%83O.mp4,1,1,mp4,videos,False,A
AFILHADO,AFILHADO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFILHADO.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFILHADO.mp4,1,1,mp4,videos,False,A
AFINIDADE,AFINIDADE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFINIDADE.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFINIDADE.mp4,1,1,mp4,videos,False,A
ÁFRICA,ÁFRICA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA.mp4,1,1,mp4,videos,False,A
ÁFRICA-DO-SUL,ÁFRICA-DO-SUL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA-DO-SUL.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA-DO-SUL.mp4,1,1,mp4,videos,False,A
ÁFRICA,ÁFRICA-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA2.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA2.mp4,2,1,mp4,videos,True,A
AGENDAR,AGENDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGENDAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGENDAR.mp4,1,1,mp4,videos,False,A
AGITAR,AGITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGITAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGITAR.mp4,1,1,mp4,videos,False,A
AGORA,AGORA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGORA.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGORA.mp4,1,1,mp4,videos,False,A
AGOSTO,AGOSTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO.mp4,1,1,mp4,videos,False,A
AGOSTO,AGOSTO-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO2.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO2.mp4,2,1,mp4,videos,True,A
AGOSTO,AGOSTO-3,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO3.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO3.mp4,3,1,mp4,videos,True,A
AGOSTO,AGOSTO-4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO4.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO4.mp4,4,1,mp4,videos,True,A
AGOSTO,AGOSTO-5,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO5.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO5.mp4,5,1,mp4,videos,True,A
AGRADECER,AGRADECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGRADECER.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGRADECER.mp4,1,1,mp4,videos,False,A
AGREDIR,AGREDIR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGREDIR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGREDIR.mp4,1,1,mp4,videos,False,A
AGRESSÃO,AGRESSÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGRESS%C3%83O.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGRESS%C3%83O.mp4,1,1,mp4,videos,False,A
ÁGUA,ÁGUA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81GUA.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81GUA.mp4,1,1,mp4,videos,False,A
AGUARDENTE,AGUARDENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGUARDENTE.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGUARDENTE.mp4,1,1,mp4,videos,False,A
ÁGUIA,ÁGUIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81GUIA.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81GUIA.mp4,1,1,mp4,videos,False,A
AHAM,AHAM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AHAM.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AHAM.mp4,1,1,mp4,videos,False,A
AIDS,AIDS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AIDS.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AIDS.mp4,1,1,mp4,videos,False,A
AINDA,AINDA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AINDA.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AINDA.mp4,1,1,mp4,videos,False,A
AINDA-NÃO,AINDA-NÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AINDA-N%C3%83O.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AINDA-N%C3%83O.mp4,1,1,mp4,videos,False,A
AJUDAR,AJUDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AJUDAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AJUDAR.mp4,1,1,mp4,videos,False,A
ALAGOAS,ALAGOAS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALAGOAS.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALAGOAS.mp4,1,1,mp4,videos,False,A
ALASCA,ALASCA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALASCA.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALASCA.mp4,1,1,mp4,videos,False,A
ALBÂNIA,ALBÂNIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALB%C3%82NIA.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALB%C3%82NIA.mp4,1,1,mp4,videos,False,A
ALBERGUE,ALBERGUE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALBERGUE.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALBERGUE.mp4,1,1,mp4,videos,False,A
ÁLBUM,ÁLBUM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81LBUM.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81LBUM.mp4,1,1,mp4,videos,False,A
ALCE,ALCE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALCE.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALCE.mp4,1,1,mp4,videos,False,A
ÁLCOOL,ÁLCOOL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81LCOOL.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81LCOOL.mp4,1,1,mp4,videos,False,A
ALEATÓRIO,ALEATÓRIO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALEAT%C3%93RIO.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALEAT%C3%93RIO.mp4,1,1,mp4,videos,False,A
ALEGRAR,ALEGRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALEGRAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALEGRAR.mp4,1,1,mp4,videos,False,A
ALÉM,ALÉM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AL%C3%89M.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AL%C3%89M.mp4,1,1,mp4,videos,False,A
ALEMANHA,ALEMANHA,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/ALEMANHA.mp4,https://levantelab.storage.googleapis.com/libras/gerais/VcPz76GzvtdL2wIvfwkrq6YAknZIS6fXcR3jL8Xj.mp4,1,2,mp4,levantelab,False,A
ALERTAR,ALERTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALERTAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALERTAR.mp4,1,1,mp4,videos,False,A
ALFACE,ALFACE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFACE.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFACE.mp4,1,1,mp4,videos,False,A
ALFACE,ALFACE-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFACE2.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFACE2.mp4,2,1,mp4,videos,True,A
ALFINETE,ALFINETE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFINETE.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFINETE.mp4,1,1,mp4,videos,False,A
ALGODÃO,ALGODÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGOD%C3%83O.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGOD%C3%83O.mp4,1,1,mp4,videos,False,A
ALGUM,ALGUM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGUM.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGUM.mp4,1,1,mp4,videos,False,A
ALGUNS,ALGUNS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGUNS.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGUNS.mp4,1,1,mp4,videos,False,A
ALHO,ALHO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALHO.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALHO.mp4,1,1,mp4,videos,False,A
ALHO,ALHO-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALHO2.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALHO2.mp4,2,1,mp4,videos,True,A
ALIVIAR,ALIVIAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALIVIAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALIVIAR.mp4,1,1,mp4,videos,False,A
ALMOÇAR,ALMOÇAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALMO%C3%87AR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALMO%C3%87AR.mp4,1,1,mp4,videos,False,A
ALOFONE,ALOFONE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALOFONE.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALOFONE.mp4,1,1,mp4,videos,False,A
ALONGAR,ALONGAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALONGAR.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALONGAR.mp4,1,1,mp4,videos,False,A
ALTERNÂNCIA,ALTERNÂNCIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALTERN%C3%82NICA.mp4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALTERN%C3%82NICA.mp4,1,1,mp4,videos,False,A
