label,video_url,signer_number,data_source,scraped_label,scraped_video_url,sign_variant,signer_number,video_url_root,video_url_ext,number_in_label
ABSORVER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSORVER.mp4,1,sb,ABSORVER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSORVER.mp4,1,1,videos,mp4,False
ABSTER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSTER.mp4,1,sb,ABSTER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSTER.mp4,1,1,videos,mp4,False
ABSTRATO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSTRATO.mp4,1,sb,ABSTRATO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSTRATO.mp4,1,1,videos,mp4,False
ABSURDO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO.mp4,1,sb,ABSURDO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO.mp4,1,1,videos,mp4,False
ABSURDO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO2.mp4,1,sb,ABSURDO-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO2.mp4,2,1,videos,mp4,True
ABSURDO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO3.mp4,1,sb,ABSURDO-3,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO3.mp4,3,1,videos,mp4,True
ABSURDO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO4.mp4,1,sb,ABSURDO-4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ABSURDO4.mp4,4,1,videos,mp4,True
ACABAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACABAR.mp4,1,sb,ACABAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACABAR.mp4,1,1,videos,mp4,False
ACADÊMICA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACAD%C3%8AMICA.mp4,1,sb,ACADÊMICA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACAD%C3%8AMICA.mp4,1,1,videos,mp4,False
AÇAÍ,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/A%C3%87AI.mp4,1,sb,AÇAÍ,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/A%C3%87AI.mp4,1,1,videos,mp4,False
ACEITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACEITAR.mp4,1,sb,ACEITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACEITAR.mp4,1,1,videos,mp4,False
ACENDEDOR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDEDOR.mp4,1,sb,ACENDEDOR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDEDOR.mp4,1,1,videos,mp4,False
ACENDER-FAROL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDER-FAROL.mp4,1,sb,ACENDER-FAROL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDER-FAROL.mp4,1,1,videos,mp4,False
ACENDER-LUZ,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDER-LUZ.mp4,1,sb,ACENDER-LUZ,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACENDER-LUZ.mp4,1,1,videos,mp4,False
ACESSIBILIDADE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACESSIBILIDADE.mp4,1,sb,ACESSIBILIDADE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACESSIBILIDADE.mp4,1,1,videos,mp4,False
ACETONA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACETONA.mp4,1,sb,ACETONA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACETONA.mp4,1,1,videos,mp4,False
ACHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR.mp4,1,sb,ACHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR.mp4,1,1,videos,mp4,False
ACHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR2.mp4,1,sb,ACHAR-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR2.mp4,2,1,videos,mp4,True
ACHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR3.mp4,1,sb,ACHAR-3,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACHAR3.mp4,3,1,videos,mp4,True
ACIDENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACIDENTE.mp4,1,sb,ACIDENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACIDENTE.mp4,1,1,videos,mp4,False
ACOMODAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOMODAR.mp4,1,sb,ACOMODAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOMODAR.mp4,1,1,videos,mp4,False
ACOMPANHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOMPANHAR.mp4,1,sb,ACOMPANHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOMPANHAR.mp4,1,1,videos,mp4,False
ACONSELHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONSELHAR.mp4,1,sb,ACONSELHAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONSELHAR.mp4,1,1,videos,mp4,False
ACONTECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONTECER.mp4,1,sb,ACONTECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONTECER.mp4,1,1,videos,mp4,False
ACONTECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONTECER2.mp4,1,sb,ACONTECER-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACONTECER2.mp4,2,1,videos,mp4,True
ACORDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACORDAR.mp4,1,sb,ACORDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACORDAR.mp4,1,1,videos,mp4,False
ACOSTUMAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOSTUMAR.mp4,1,sb,ACOSTUMAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACOSTUMAR.mp4,1,1,videos,mp4,False
ACRE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACRE.mp4,1,sb,ACRE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACRE.mp4,1,1,videos,mp4,False
ACREDITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACREDITAR.mp4,1,sb,ACREDITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACREDITAR.mp4,1,1,videos,mp4,False
ACRESCENTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACRESCENTAR.mp4,1,sb,ACRESCENTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ACRESCENTAR.mp4,1,1,videos,mp4,False
ADAPTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADAPTAR.mp4,1,sb,ADAPTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADAPTAR.mp4,1,1,videos,mp4,False
ADIANTAR-NÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADIANTAR-N%C3%83O.mp4,1,sb,ADIANTAR-NÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADIANTAR-N%C3%83O.mp4,1,1,videos,mp4,False
ADJETIVO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADJETIVO.mp4,1,sb,ADJETIVO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADJETIVO.mp4,1,1,videos,mp4,False
ADMINISTRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADMINISTRAR.mp4,1,sb,ADMINISTRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADMINISTRAR.mp4,1,1,videos,mp4,False
ADMIRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADMIRAR.mp4,1,sb,ADMIRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADMIRAR.mp4,1,1,videos,mp4,False
ADOECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOECER.mp4,1,sb,ADOECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOECER.mp4,1,1,videos,mp4,False
ADOLESCENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOLESCENTE.mp4,1,sb,ADOLESCENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOLESCENTE.mp4,1,1,videos,mp4,False
ADORAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADORAR.mp4,1,sb,ADORAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADORAR.mp4,1,1,videos,mp4,False
ADOTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOTAR.mp4,1,sb,ADOTAR-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOTAR.mp4,2,1,videos,mp4,True
ADOTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOTAR2.mp4,1,sb,ADOTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOTAR2.mp4,1,1,videos,mp4,False
ADQUIRIR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADQUIRIR.mp4,1,sb,ADQUIRIR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADQUIRIR.mp4,1,1,videos,mp4,False
ADULTÉRIO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADULT%C3%89RIO.mp4,1,sb,ADULTÉRIO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADULT%C3%89RIO.mp4,1,1,videos,mp4,False
ADULTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADULTO.mp4,1,sb,ADULTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADULTO.mp4,1,1,videos,mp4,False
ADVOGADO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADVOGADO.mp4,1,sb,ADVOGADO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADVOGADO.mp4,1,1,videos,mp4,False
AEROPORTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AEROPORTO.mp4,1,sb,AEROPORTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AEROPORTO.mp4,1,1,videos,mp4,False
AFASIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFASIA.mp4,1,sb,AFASIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFASIA.mp4,1,1,videos,mp4,False
AFASTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFASTAR.mp4,1,sb,AFASTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFASTAR.mp4,1,1,videos,mp4,False
AFEGANISTÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFEGANIST%C3%83O.mp4,1,sb,AFEGANISTÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFEGANIST%C3%83O.mp4,1,1,videos,mp4,False
AFILHADO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFILHADO.mp4,1,sb,AFILHADO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFILHADO.mp4,1,1,videos,mp4,False
AFINIDADE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFINIDADE.mp4,1,sb,AFINIDADE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFINIDADE.mp4,1,1,videos,mp4,False
ÁFRICA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA.mp4,1,sb,ÁFRICA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA.mp4,1,1,videos,mp4,False
ÁFRICA-DO-SUL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA-DO-SUL.mp4,1,sb,ÁFRICA-DO-SUL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA-DO-SUL.mp4,1,1,videos,mp4,False
ÁFRICA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA2.mp4,1,sb,ÁFRICA-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81FRICA2.mp4,2,1,videos,mp4,True
AGENDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGENDAR.mp4,1,sb,AGENDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGENDAR.mp4,1,1,videos,mp4,False
AGITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGITAR.mp4,1,sb,AGITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGITAR.mp4,1,1,videos,mp4,False
AGORA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGORA.mp4,1,sb,AGORA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGORA.mp4,1,1,videos,mp4,False
AGOSTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO.mp4,1,sb,AGOSTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO.mp4,1,1,videos,mp4,False
AGOSTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO2.mp4,1,sb,AGOSTO-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO2.mp4,2,1,videos,mp4,True
AGOSTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO3.mp4,1,sb,AGOSTO-3,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO3.mp4,3,1,videos,mp4,True
AGOSTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO4.mp4,1,sb,AGOSTO-4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO4.mp4,4,1,videos,mp4,True
AGOSTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO5.mp4,1,sb,AGOSTO-5,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO5.mp4,5,1,videos,mp4,True
AGRADECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGRADECER.mp4,1,sb,AGRADECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGRADECER.mp4,1,1,videos,mp4,False
AGREDIR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGREDIR.mp4,1,sb,AGREDIR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGREDIR.mp4,1,1,videos,mp4,False
AGRESSÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGRESS%C3%83O.mp4,1,sb,AGRESSÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGRESS%C3%83O.mp4,1,1,videos,mp4,False
ÁGUA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81GUA.mp4,1,sb,ÁGUA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81GUA.mp4,1,1,videos,mp4,False
AGUARDENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGUARDENTE.mp4,1,sb,AGUARDENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGUARDENTE.mp4,1,1,videos,mp4,False
ÁGUIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81GUIA.mp4,1,sb,ÁGUIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81GUIA.mp4,1,1,videos,mp4,False
AHAM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AHAM.mp4,1,sb,AHAM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AHAM.mp4,1,1,videos,mp4,False
AIDS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AIDS.mp4,1,sb,AIDS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AIDS.mp4,1,1,videos,mp4,False
AINDA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AINDA.mp4,1,sb,AINDA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AINDA.mp4,1,1,videos,mp4,False
AINDA-NÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AINDA-N%C3%83O.mp4,1,sb,AINDA-NÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AINDA-N%C3%83O.mp4,1,1,videos,mp4,False
AJUDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AJUDAR.mp4,1,sb,AJUDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AJUDAR.mp4,1,1,videos,mp4,False
ALAGOAS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALAGOAS.mp4,1,sb,ALAGOAS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALAGOAS.mp4,1,1,videos,mp4,False
ALASCA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALASCA.mp4,1,sb,ALASCA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALASCA.mp4,1,1,videos,mp4,False
ALBÂNIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALB%C3%82NIA.mp4,1,sb,ALBÂNIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALB%C3%82NIA.mp4,1,1,videos,mp4,False
ALBERGUE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALBERGUE.mp4,1,sb,ALBERGUE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALBERGUE.mp4,1,1,videos,mp4,False
ÁLBUM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81LBUM.mp4,1,sb,ÁLBUM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81LBUM.mp4,1,1,videos,mp4,False
ALCE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALCE.mp4,1,sb,ALCE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALCE.mp4,1,1,videos,mp4,False
ÁLCOOL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81LCOOL.mp4,1,sb,ÁLCOOL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/%C3%81LCOOL.mp4,1,1,videos,mp4,False
ALEATÓRIO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALEAT%C3%93RIO.mp4,1,sb,ALEATÓRIO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALEAT%C3%93RIO.mp4,1,1,videos,mp4,False
ALEGRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALEGRAR.mp4,1,sb,ALEGRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALEGRAR.mp4,1,1,videos,mp4,False
ALÉM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AL%C3%89M.mp4,1,sb,ALÉM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AL%C3%89M.mp4,1,1,videos,mp4,False
ALEMANHA,https://videos.nals.cce.ufsc.br/SignBank/Vídeos/ALEMANHA.mp4,2,sb,ALEMANHA,https://levantelab.storage.googleapis.com/libras/gerais/VcPz76GzvtdL2wIvfwkrq6YAknZIS6fXcR3jL8Xj.mp4,1,2,levantelab,mp4,False
ALERTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALERTAR.mp4,1,sb,ALERTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALERTAR.mp4,1,1,videos,mp4,False
ALFACE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFACE.mp4,1,sb,ALFACE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFACE.mp4,1,1,videos,mp4,False
ALFACE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFACE2.mp4,1,sb,ALFACE-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFACE2.mp4,2,1,videos,mp4,True
ALFINETE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFINETE.mp4,1,sb,ALFINETE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFINETE.mp4,1,1,videos,mp4,False
ALGODÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGOD%C3%83O.mp4,1,sb,ALGODÃO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGOD%C3%83O.mp4,1,1,videos,mp4,False
ALGUM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGUM.mp4,1,sb,ALGUM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGUM.mp4,1,1,videos,mp4,False
ALGUNS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGUNS.mp4,1,sb,ALGUNS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGUNS.mp4,1,1,videos,mp4,False
ALHO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALHO.mp4,1,sb,ALHO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALHO.mp4,1,1,videos,mp4,False
ALHO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALHO2.mp4,1,sb,ALHO-2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALHO2.mp4,2,1,videos,mp4,True
ALIVIAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALIVIAR.mp4,1,sb,ALIVIAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALIVIAR.mp4,1,1,videos,mp4,False
ALMOÇAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALMO%C3%87AR.mp4,1,sb,ALMOÇAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALMO%C3%87AR.mp4,1,1,videos,mp4,False
