label,video_url,signer_number,data_source,scraped_label,number_in_label,file_exists,letter,assuntos,acepção,exemplo,exemplo libras,classe gramatical,origem,scraped_video_url,sign_variant,signer_number.1,video_url_root,video_url_ext,sign_url,signer_order,Unnamed: 0,category,example_pt,example_libras,hand_gesture,url_available,decoded_word,word_in_url
ABRAÇO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abracoSm_Prog001.mp4,0.0,ne,ABRAÇO,False,True,A,NENHUM,Situação em que duas pessoas se abraçam; demonstração de afeto.,Diga a sua esposa que mandei um abraço.,FALAR ABRAÇO ESPOS@ SE@.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABRAÇO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abraco2Sm_Prog001.mp4,0.0,ne,ABRAÇO2,True,True,A,NENHUM,"Ato de envolver alguém com os braços, para fazer uma saudação ou uma manifestação de carinho.",Um bom abraço é gostoso.,ABRAÇO BO@ GOSTOS@.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABREVIAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abreviarSm_Prog001.mp4,0.0,ne,ABREVIAR,False,True,A,NENHUM,Encurtar; reduzir; usar menos tempo.,Você fará a palestra no congresso de amanhã? Precisa abreviar.,AMANHÃ CONGRESSO VOCÊ PALESTRA? PRECISAR ABREVIAR.,VERBO,Nacional,,,,,,,,,,,,,,,
ABRIDOR DE LATA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abridor%20de%20lata1Sm_Prog001.mp4,0.0,ne,ABRIDOR DE LATA1,True,False,A,APARELHO/MÁQUINA,"Objeto cortante usado para remover a parte superior de latas de conservas, doces e outras, dando acesso ao seu conteúdo.",Eu abri a lata de tomate e ele estava podre.,EU ABRIDOR-DE-LATA-ABRIR TOMATE PODRE.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABRIDOR DE LATA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abridor%20de%20lata2Sm_Prog001.mp4,0.0,ne,ABRIDOR DE LATA2,True,False,A,APARELHO/MÁQUINA,"Objeto cortante usado para remover a parte superior de latas de conservas, doces e outras, dando acesso ao seu conteúdo.",Fui convidada pela empresa Arno para assistir ao lançamento do novo abridor de latas automático.,EMPRESA A-R-N-O 3sCONVIDAR1s ASSISTIR LANÇAMENTO ABRIDOR-DE-LATA NOV@ AUTOMÁTIC@.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABRIGAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrigarSm_Prog001.mp4,0.0,ne,ABRIGAR,False,True,A,NENHUM,"Proteger contra os perigos, o frio ou a chuva.",Meu cunhado construir um teto para abrigar o carro.,ME@ CUNHAD@ CONSTRUIR TETO CARRO veículoABRIGAR.,VERBO,Nacional,,,,,,,,,,,,,,,
ABRIGO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrigoSm_Prog001.mp4,0.0,ne,ABRIGO,False,True,A,NENHUM,"Proteção contra os perigos, a chuva, o frio, o calor.","Nós dois vamos procurar um abrigo, pois vai chover forte.",V-A-I CHOVER FORTE NÓS-2 PROCURAR ABRIGO.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABRIL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrilSm_Prog001.mp4,0.0,ne,ABRIL,False,True,A,ANO SIDERAL,"Quarto mês do calendário anual, seguinte ao mês de março e anterior ao de maio. Tem 30 dias.",Eu nasci no mês de abril.,EU NASCER ABRIL.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABRIR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrir1Sm_Prog001.mp4,0.0,ne,ABRIR1,True,True,A,NENHUM,Remover o obstáculo que impede a passagem de uma substância através do gargalo.,Eu abri a garrafa e bebi a água muito gelada.,EU ABRIR-GARRAFA ÁGUA BEBER GELAD@muito.,VERBO,Nacional,,,,,,,,,,,,,,,
ABRIR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrir2Sm_Prog001.mp4,0.0,ne,ABRIR2,True,True,A,NENHUM,Mover e separar as partes juntas para dar passagem à claridade e ao ar; liberar a entrada e a saída de ar e luz.,"Por favor, abra a janela da sala!",FAVOR JANELA S-A-L-A ABRIR!,VERBO,Nacional,,,,,,,,,,,,,,,
ABRIR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrir3Sm_Prog001.mp4,0.0,ne,ABRIR3,True,True,A,NENHUM,Separar as partes de mantêm a porta fechada; dar passagem; permitir a entrada e a saída de pessoas e objetos.,Não consigo abrir esta porta!,PORTA EST@ CONSEGUIR-NÃO ABRIR!,VERBO,Nacional,,,,,,,,,,,,,,,
ABRIR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrir4Sm_Prog001.mp4,0.0,ne,ABRIR4,True,True,A,NENHUM,"Retirar a peça que veda potes, vidros, garrafas e similares.",Não abra esta tampa porque está enferrujada!,TAMPA-ABRIR NÃO EVITAR ENFERRUJAD@!,VERBO,Nacional,,,,,,,,,,,,,,,
ABRIR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abrir5Sm_Prog001.mp4,0.0,ne,ABRIR5,True,True,A,NENHUM,Separar as pálpebras; estar pronto para olhar.,"Cinco horas depois da operação do coração, Mauro abriu os olhos.",M-A-U-R-O CORAÇÃO peitoOPERAR HORA 5 DEPOIS ABRIR-OLHO.,VERBO,Nacional,,,,,,,,,,,,,,,
ABSOLVER,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/absolverSm_Prog001.mp4,0.0,ne,ABSOLVER,False,True,A,NENHUM,Perdoar; retirar a culpa.,O juiz absolveu o ladrão por falta de provas.,FALTAR PROVA LADRÃ@ JUIZ ABSOLVER.,VERBO,Nacional,,,,,,,,,,,,,,,
ABSORVENTE HIGIÊNICO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/absorvente-higienicoSm_Prog001.mp4,0.0,ne,ABSORVENTE HIGIÊNICO,False,False,A,HIGIENE/SAÚDE,Produto utilizado pelas mulheres no período de menstruação.,Eu vou à farmácia comprar um absorvente higiênico.,EU COMPRAR ABSORVENTE-HIGIÊNICO FARMÁCIA.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ABSORVER,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/absorver1Sm_Prog001.mp4,0.0,ne,ABSORVER1,True,True,A,NENHUM,Recolher o líquido existente em uma superfície.,"Tem muita água no chão, pegue uma esponja para absorver.",CHÃO ÁGUA ESPARRAMAR! PEGAR ESPONJA ABSORVER.,VERBO,Nacional,,,,,,,,,,,,,,,
ABSORVER,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/absorver2Sm_Prog001.mp4,0.0,ne,ABSORVER2,True,True,A,NENHUM,Receber e elaborar uma informação; compreender.,Não consegui absorver a aula de História.,AULA HISTORIA ABSORVER CONSEGUIR NÃO.,VERBO,Nacional,,,,,,,,,,,,,,,
ABSTER,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/absterSm_Prog001.mp4,0.0,ne,ABSTER,False,True,A,NENHUM,Refrear-se; conter-se; afastar-se do consumo de algum alimento.,Meu tio resolveu abster-se de doces para emagrecer.,TI@ ME@ EMAGRECER DOCE+ ABSTER.,VERBO,Nacional,,,,,,,,,,,,,,,
ABSURDO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/absurdo1Sm_Prog001.mp4,0.0,ne,ABSURDO,False,True,A,NENHUM,Além do aceitável; incrível.,"O governo cobra IPTU alto, que absurdo!",GOVERNO I-P-T-U COBRAR ABSURDOmuito!,ADJETIVO,Nacional,,,,,,,,,,,,,,,
ABUSADO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abusadoSm_Prog001.mp4,0.0,ne,ABUSADO,False,True,A,NENHUM,Atrevido; sem respeito aos limites.,"Ele é muito abusado, não tem educação.",EL@ ABUSAD@ EDUCAÇÃO TER-NÃO.,ADJETIVO,Nacional,,,,,,,,,,,,,,,
ABUSAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/abusarSm_Prog001.mp4,0.0,ne,ABUSAR,False,True,A,NENHUM,Aproveitar-se; tirar vantagem.,Ele abusa de você!,EL@ ABUSAR VOCÊ!,VERBO,Nacional,,,,,,,,,,,,,,,
ACABAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acabar1Sm_Prog001.mp4,0.0,ne,ACABAR1,True,True,A,NENHUM,Terminar; concluir; finalizar.,Já acabei o texto e estou aliviado.,TEXTO PREPARAR ACABAR ALIVIAD@<brrrru>.,VERBO,Nacional,,,,,,,,,,,,,,,
ACABAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acabar2Sm_Prog001.mp4,0.0,ne,ACABAR2,True,True,A,NENHUM,Chegar ao final; concluir; encerrar.,"A novela acabou e, agora, vou dormir.Tchau!",NOVELA ACABAR IR<vou> DORMIR TCHAU.,VERBO,Nacional,,,,,,,,,,,,,,,
ACABAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acabar3Sm_Prog001.mp4,0.0,ne,ACABAR3,True,True,A,NENHUM,Deixar de acontecer; terminar.,"A aula já acabou, pode ir para casa.",AULA ACABAR PODER IR CASA.,VERBO,Nacional,,,,,,,,,,,,,,,
ACABAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acabar4Sm_Prog001.mp4,0.0,ne,ACABAR4,True,True,A,NENHUM,Esgotar; não mais existir.,A água acabou. É preciso comprar novamente.,ÁGUAR ACABAR PRECISAR COMPRAR OUTRA-VEZ.,VERBO,Nacional,,,,,,,,,,,,,,,
AÇAÍ,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acaiSm_Prog001.mp4,0.0,ne,AÇAÍ,False,True,A,FRUTA,"Fruta que vem de uma palmeira. É consumida ao natural e utilizada para fazer doces, sorvetes e sucos.",Eu bebo um copo cheio de suco de açaí. É forte e saudável.,AÇAÍ BEBER-CORPO-INTEIRO FORTE SAÚDE.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ACALENTAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acalentarSm_Prog001.mp4,0.0,ne,ACALENTAR,False,True,A,NENHUM,"Com a criança nos braços, fazer movimentos suaves para um lado e para outro do corpo, geralmente cantando, para que ela durma.",O bebê estava chorando e eu o acalantei.,BEBÊ CHORARcontinuativo EU ACALENTAR.,VERBO,Nacional,,,,,,,,,,,,,,,
ACALMAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acalmar1Sm_Prog001.mp4,0.0,ne,ACALMAR1,True,True,A,NENHUM,"Recuperar ou manter a tranqüilidade, a serenidade.",Eu tomo remédio para me acalmar.,EU TOMAR-REMÉDIO ACALMAR.,VERBO,Nacional,,,,,,,,,,,,,,,
ACALMAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acalmar2Sm_Prog001.mp4,0.0,ne,ACALMAR2,True,True,A,NENHUM,Tranqüilizar; fazer com que alguém se acalme.,"É bom você se acalmar, você estudou muito!",VOCÊ BO@ ACALMAR! VOCÊ ESTUDARmuito!,VERBO,Nacional,,,,,,,,,,,,,,,
ACAMPAMENTO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acampamentoSm_Prog001.mp4,0.0,ne,ACAMPAMENTO,False,True,A,ESPORTE/DIVERSÃO,"Terreno ou clube, onde as casas são trocadas por barracas e geralmente freqüentado por pessoas que buscam contato com a natureza.",Eu vi que na Barra tem muitos lugares bonitos para acampamento.,EU VER JÁ B-A-R-R-A TER ACAMPAMENTO+ BONIT@.,SUBSTANTIVO,Nacional,,,,,,,,,,,,,,,
ACAMPAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/acamparSm_Prog001.mp4,0.0,ne,ACAMPAR,False,True,A,NENHUM,"Instalar-se em um acampamento ou em espaços naturais improvisados, usando barracas.","Eu não quero acampar aqui, é perigoso. Melhor outro lugar.",ACAMPAR EU AQUI QUERER-NÃO PERIGOS@ MELHOR OUTR@.,VERBO,Nacional,,,,,,,,,,,,,,,
