,label,category,example_pt,example_libras,video_url,hand_gesture,url_available,decoded_word,word_in_url
31,Aquário,Objetos,Comprei um aquário e um peixe.,EU COMPRAR AQUARIO GUARDAR PEIXES,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01456-Aqu%C3%A1rio.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/14.jpg,True,aquario,True
32,Arma,Objetos,Não toque nessa arma. É perigoso.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/630-arma.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/24.jpg,True,arma,True
33,Arma de Fogo,Objetos,Armas de fogo são perigosas.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/631-armadefogo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/24.jpg,True,arma-de-fogo,True
34,Armário,Objetos,Meu armário está muito bagunçado.,MEU ARMARIO BAGUNCA,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01443-Armario.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/03.jpg,True,armario,True
35,Balança,Objetos,A balança da loja estava com defeito.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01457-Balan%C3%A7a.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg,True,balanca,True
36,Balão,Objetos,Há muitos balões em festas de criança.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/bal%C3%A3o.mp4,,True,balao,True
37,Balde,Objetos,Preciso de muitos baldes de água para lavar a garagem.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/08/balde.mp4,,True,balde,True
38,Bambolê,Objetos,Sempre gostei de brincar com bambolê.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/bambol%C3%AA.mp4,,True,bambole,True
39,Bandeira,Objetos,A bandeira da minha escola é linda.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/bandeira.mp4,,True,bandeira,True
40,Banheira,Objetos,Nunca tomei banho na banheira.,EU NUNCA BANHO-BANHEIRA,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01459-Banheira.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/49.jpg,True,banheira,True
41,Baralho,Objetos,O meu baralho sumiu.,MEU BARALHO PERDER.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00958-baralho.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/06.jpg,True,baralho,True
42,Batedeira,Objetos,Pegue a batedeira para fazermos o bolo.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/batedeira.mp4,,True,batedeira,True
43,Batom,Objetos,Te empresto o batom vermelho.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01788-batom.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/46.jpg,True,batom,True
45,Bico,Objetos,Dê o bico para a criança parar de chorar.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/bico.mp4,,True,bico,True
46,Binóculo,Objetos,"Para enxergar a praia, precisei usar o binóculo.",,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/binoculo.mp4,,True,binoculo,True
47,Bola,Objetos,Eu perdi a bola.,EU PERDER BOLA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00960-bola.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/15.jpg,True,bola,True
48,Boneca,Objetos,As minhas sobrinhas sempre brincam de boneca.,MEUS SOBRINHOS BRINCAR BONECA SEMPRE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00962-boneca.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/01.jpg,True,boneca,True
49,Brinquedo,Objetos,O meu primo tem brinquedos.,MEU PRIMO TER MUITOS BRINQUEDOS.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00964-brinquedo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/64.jpg,True,brinquedo,True
50,Cabide,Objetos,Preciso de mais cabides para pendurar minhas roupas.,QUANTOS CABIDE FALTAR GUARDAR ROUPAS TUDO,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01461-Cabide.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/45.jpg,True,cabide,True
51,Cadeado,Objetos,O ladrão quebrou o cadeado da bicicleta.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/cadeado.mp4,,True,cadeado,True
52,Cadeira,Objetos,"Na minha casa tem muitas cadeiras, não se preocupe.",MINHA CASA TER CADEIRAS MUITAS PREOCUPAR-NAO,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01462-Cadeira.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/32.jpg,True,cadeira,True
53,Caixa,Objetos,Estou curioso para saber o que há nessa caixa.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/caixa.mp4,,True,caixa,True
54,Calculadora,Objetos,A professora irá nos emprestar sua calculadora.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/calculadora.mp4,,True,calculadora,True
55,Caneca,Objetos,Minha mãe coleciona canecas.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/caneca.mp4,,True,caneca,True
56,Canudo,Objetos,"Não use canudos, há muitos poluindo os mares.",,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/canudo.mp4,,True,canudo,True
57,Capacete,Objetos,O seu capacete é muito bonito.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/capacete.mp4,,True,capacete,True
58,Carimbo,Objetos,Peguei o seu carimbo na mesa.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/carimbo.mp4,,True,carimbo,True
59,Carrinho,Objetos,Comprei um carrinho de presente para você.,EU COMPRAR CARRINHO PRESENTE VOCÊ.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00966-carrinho.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/69.jpg,True,carrinho,True
60,Cesto de Lixo,Objetos,O cesto de lixo está cheio.,CESTO-LIXO CHEIO,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01463-Cesto-de-lixo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/42.jpg,True,cesto-de-lixo,True
61,Chave,Objetos,Pode pegar a chave do carro comigo.,VOCE TER OUTRA COPIA CHAVE,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01464-Chave.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/47.jpg,True,chave,True
62,Chicote,Objetos,Não gosto que batam no cavalo com o chicote.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/chicote.mp4,,True,chicote,True
63,Chuveiro,Objetos,O chuveiro parou.,CHUVEIRO DESLIGAR,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01466-Chuveiro.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/15.jpg,True,chuveiro,True
64,Cobertor,Objetos,"Estou com frio, vou pegar o cobertor para cobrir.",FRIO HOJE EU USAR COBERTOR,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01467-Cobertor.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/10.jpg,True,cobertor,True
65,Cola,Objetos,A mulher me pediu para comprar uma cola.,ELA PEDIR EU COMPRAR COLA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1292-cola.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/58.jpg,True,cola,True
66,Colar,Objetos,Dei um colar para minha mãe.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/861-colar.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/51.jpg,True,colar,True
67,Colher,Objetos,Preciso pegar a colher para tomar a sopa.,COLHER ONDE,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01468-Colher.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/11.jpg,True,colher,True
68,Copo,Objetos,Seu copo tem refrigerante.,COPO SEU REFRIGERANTE TER,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01470-Copo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/12.jpg,True,copo,True
69,Corda de pular,Objetos,A corda de pular arrebentou.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/corda-de-pular.mp4,,True,corda-de-pular,True
70,Cortina,Objetos,A cortina do seu quarto está suja.,SE COMPRAR CORTINA QUARTO SEU,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01472-Cortina.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/04.jpg,True,cortina,True
71,Dado,Objetos,O professor usa o dado para ensinar matemática.,NÓS USAR DADO SOMAR MATEMÁTICA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00970-dado.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/37.jpg,True,dado,True
72,Despertador,Objetos,Preciso comprar um despertador.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/despertador.mp4,,True,despertador,True
73,Diamante,Objetos,Um diamante custa muito dinheiro.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/diamante.mp4,,True,diamante,True
74,Dinamite,Objetos,As dinamites são perigosas.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/dinamite.mp4,,True,dinamite,True
75,Dominó,Objetos,As crianças gostam de brincar com o dominó.,CRIANÇA GOSTAR BRINCADEIRA DOMINÓ.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00972-domino.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/21.jpg,True,domino,True
76,Elástico,Objetos,Minha calça tem elástico.,MINHA CALÇA TER ELASTICO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1295-elastico.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/39.jpg,True,elastico,True
77,Enxada,Objetos,A enxada do meu avô é pesada.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/enxada.mp4,,True,enxada,True
78,Escada,Objetos,No meu prédio há muitas escadas.,MEU PREDIO TER ESCADAS MUITO,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01473-Escada.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/32.jpg,True,escada,True
79,Escova de cabelo,Objetos,Eu quebrei a escova de cabelo que estava no banheiro.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/escova-de-cabelo.mp4,,True,escova-de-cabelo,True
80,Escova de dente,Objetos,A escova de dentes precisa estar sempre limpa.,IMPORTANTE LIMPAR SEMPRE ESCOVA-DE-DENTE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/00940-escova-de-dente.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/46.jpg,True,escova-de-dente,True
81,Escova de lavar,Objetos,A escova de lavar está na cama.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/escova-de-lavar.mp4,,True,escova-de-lavar,True
82,Esmalte,Objetos,Amo usar esmalte vermelho.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/esmalte.mp4,,True,esmalte,True
83,Espada,Objetos,Essa espada é muito afiada.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/espada.mp4,,True,espada,True
84,Espelho,Objetos,No seu quarto tem um espelho.,SEU QUARTO TER ESPELHO,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01474-Espelho.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg,True,espelho,True
85,Esponja,Objetos,Eu uso esponja para lavar.,LAVAR PIA ESPONJA QUAL?,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/1397-esponja.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/13.jpg,True,esponja,True
86,Estátua,Objetos,No parque tem uma estátua muito bonita.,ESTÁTUA BONITA ESTÁ PRAÇA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00973-estatua.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/67.jpg,True,estatua,True
87,Faixa,Objetos,A faixa branca está suja.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/faixa.mp4,,True,faixa,True
88,Filmadora,Objetos,Essa filmadora está velha.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/09/filmadora.mp4,,True,filmadora,True
89,Filme,Objetos,Amo ver filme de terror.,EU ADORAR FILME TERROR.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00974-filme.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/05.jpg,True,filme,True
90,Filtro de Água,Objetos,Comprei um filtro de água novo.,FILTRO AGUA ONDE,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01475-Filtro-de-%C3%A1gua.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/14.jpg,True,filtro-de-agua,True
91,Fio dental,Objetos,Todos os dias preciso usar o fio dental.,PRECISAR USAR FIO-DENTAL DIARIAMENTE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/00941-fio-dental.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/39.jpg,True,fio-dental,True
92,Garfo,Objetos,Pegue os garfos para almoçarmos.,GARFO TER ONDE,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01477-Garfo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/07.jpg,True,garfo,True
93,Garrafa,Objetos,A garrafa de suco caiu.,SUCO GARRAFA-CAIR,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01478-Garrafa.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/42.jpg,True,garrafa,True
94,Gaveta,Objetos,A gaveta está cheia.,GAVETA CHEIA-MUITO,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01479-Gaveta.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/69.jpg,True,gaveta,True
95,Guarda Roupa,Objetos,Seu guarda roupa é bonito!,GUARDA-ROUPA SEU LINDO,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01480-Guarda-Roupa.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/03.jpg,True,guarda-roupa,True
96,Guardanapo,Objetos,"Minha boca está suja, vou pegar um guardanapo.",VOCE GUARDAR GUARDANAPO ONDE,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01481-Guardanapo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/24.jpg,True,guardanapo,True
97,Ingresso,Objetos,Preciso comprar o ingresso para entrar no show.,EU PRECISAR COMPRAR INGRESSO EU-IR SHOW.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1189-ingresso.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/44.jpg,True,ingresso,True
98,Jarra,Objetos,Estou procurando uma jarra.,JARRA VIDRO ONDE,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01482-Jarra.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/49.jpg,True,jarra,True
99,Lapiseira,Objetos,Prefiro escrever de lapiseira.,EU PREFERIR LAPISEIRA ESCREVER.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1215-lapizeira.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/64.jpg,True,lapiseira,True
100,Lata,Objetos,Juntei latas para conseguir dinheiro.,EU JUNTAR LATAS MONTAR INSTRUMENTO-MUSICAL,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01484-Lata.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/56.jpg,True,lata,True
101,Livro,Objetos,Preciso ir na biblioteca para pegar o livro.,EU PRECISAR LIVRO BIBLIOTECA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/livro.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg,True,livro,True
102,Lixa,Objetos,"As minhas unhas estão quebradas, preciso pegar uma lixa.",EU PRECISAR COMPRAR LIXA PORQUE MINHA UNHA QUEBRADA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1301-lixa.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/38.jpg,True,lixa,True
103,Louça,Objetos,Eu cozinho e você lava a louça.,EU COZINHAR VOCE LAVAR LOUÇA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1302-lou%C3%A7a.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/42.jpg,True,louca,True
104,Mala,Objetos,Sempre arrumo as malas antes de viajar.,,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01794-mala.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/69.jpg,True,mala,True
105,Mesa,Objetos,A mesa da minha casa quebrou.,CHAVE MESA-CIMA,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01485-Mesa.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/03.jpg,True,mesa,True
106,Óculos,Objetos,"O meu óculos está com defeito, por isso preciso comprar um novo.",,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/05/01795-oculos.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/37.jpg,True,oculos,True
107,Palito de Dente,Objetos,Preciso de um palito de dente.,VOCE TER PALITO-DENTE DAR-EU,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01488-Palito-de-dente.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/39.jpg,True,palito-de-dente,True
108,Papel Higiênico,Objetos,Preciso comprar papel higiênico.,VOCÊ COMPRAR PAPEL HIGIÊNICO?,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00943-papel-higienico.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/24.jpg,True,papel-higienico,True
